TÊN ĐƯỜNG,Giá đất đề nghị điều chỉnh,District
BÀ LÀI,55800.0,Quận 6
BÃI SẬY,93600.0,Quận 6
BẾN LÒ GỐM,61600.0,Quận 6
BẾN PHÚ LÂM,54700.0,Quận 6
BÌNH PHÚ,94800.0,Quận 6
BÌNH TÂY,81000.0,Quận 6
BÌNH TIÊN,97200.0,Quận 6
BỬU ĐÌNH,58100.0,Quận 6
CAO VĂN LẦU,101900.0,Quận 6
CHỢ LỚN,94000.0,Quận 6
CHU VĂN AN,202500.0,Quận 6
ĐẶNG NGUYÊN CẨN,73700.0,Quận 6
"ĐƯỜNG NỘI BỘ 
CƯ XÁ ĐÀI RAĐA",68500.0,Quận 6
"ĐƯỜNG NỘI BỘ 
CƯ XÁ PHÚ LÂM A",57600.0,Quận 6
"ĐƯỜNG NỘI BỘ 
CƯ XÁ PHÚ LÂM B",60200.0,Quận 6
"ĐƯỜNG NỘI BỘ 
CƯ XÁ PHÚ LÂM D",64800.0,Quận 6
"ĐƯỜNG NỘI BỘ 
KHU PHỐ CHỢ PHÚ LÂM",68500.0,Quận 6
ĐƯỜNG SỐ 10,72900.0,Quận 6
ĐƯỜNG SỐ 11,68900.0,Quận 6
GIA PHÚ,84800.0,Quận 6
HẬU GIANG,195600.0,Quận 6
HỒNG BÀNG,141700.0,Quận 6
HOÀNG LÊ KHA,59600.0,Quận 6
KINH DƯƠNG VƯƠNG,133700.0,Quận 6
LÊ QUANG SUNG,102900.0,Quận 6
LÊ TẤN KẾ,226800.0,Quận 6
LÊ TRỰC,82600.0,Quận 6
LÊ TUẤN MẬU,68900.0,Quận 6
LÝ CHIÊU HOÀNG,87500.0,Quận 6
MAI XUÂN THƯỞNG,101900.0,Quận 6
MINH PHỤNG,113400.0,Quận 6
NGÔ NHÂN TỊNH,148900.0,Quận 6
NGUYỄN HỮU THẬN,226800.0,Quận 6
NGUYỄN ĐÌNH CHI,50200.0,Quận 6
NGUYỄN PHẠM TUÂN,59600.0,Quận 6
NGUYỄN THỊ NHỎ,131700.0,Quận 6
NGUYỄN VĂN LUÔNG,104200.0,Quận 6
"NGUYỄN VĂN LUÔNG
(NGUYỄN NGỌC CUNG THEO BẢNG GIÁ ĐẤT 2014)",65900.0,Quận 6
NGUYỄN XUÂN PHỤNG,101400.0,Quận 6
PHẠM ĐÌNH HỔ,111800.0,Quận 6
PHẠM PHÚ THỨ,79000.0,Quận 6
PHẠM VĂN CHÍ,94500.0,Quận 6
PHAN ANH,83900.0,Quận 6
PHAN VĂN KHOẺ,100100.0,Quận 6
TÂN HOÀ ĐÔNG,100600.0,Quận 6
TÂN HOÁ,82400.0,Quận 6
THÁP MƯỜI,302900.0,Quận 6
TRẦN BÌNH,226800.0,Quận 6
TRẦN TRUNG LẬP,89900.0,Quận 6
VÕ VĂN KIỆT,109000.0,Quận 6
TRANG TỬ,106300.0,Quận 6
VĂN THÂN,88700.0,Quận 6
"TRẦN VĂN KIỂU 
(ĐƯỜNG SỐ 11 
KHU DÂN CƯ BÌNH PHÚ)",90700.0,Quận 6
ĐƯỜNG SỐ 22,72900.0,Quận 6
ĐƯỜNG SỐ 23,90700.0,Quận 6
ĐƯỜNG SỐ 24,72900.0,Quận 6
ĐƯỜNG SỐ 26,94000.0,Quận 6
ĐƯỜNG SONG HÀNH,72900.0,Quận 6
ĐƯỜNG SỐ 5,68900.0,Quận 6
ĐƯỜNG SỐ 8,68900.0,Quận 6
ĐƯỜNG SỐ 17,75800.0,Quận 6
ĐƯỜNG SỐ 20,68900.0,Quận 6
ĐƯỜNG SỐ 32,75800.0,Quận 6
ĐƯỜNG SỐ 33,58300.0,Quận 6
ĐƯỜNG SỐ 42,58300.0,Quận 6
ĐƯỜNG SỐ 44,64600.0,Quận 6
ĐƯỜNG SỐ 52,62700.0,Quận 6
ĐƯỜNG SỐ 54,62700.0,Quận 6
ĐƯỜNG VÀNH ĐAI,64600.0,Quận 6
ĐƯỜNG SỐ 35,62700.0,Quận 6
ĐƯỜNG SỐ 64,62700.0,Quận 6
ĐƯỜNG SỐ 72,62700.0,Quận 6
ĐƯỜNG SỐ 74,62700.0,Quận 6
ĐƯỜNG SỐ 76,62700.0,Quận 6
ĐƯỜNG SỐ 9 (PHƯỜNG 7),77500.0,Quận 6
BẾ VĂN CẤM,56700.0,Quận 7
BẾN NGHÉ,32400.0,Quận 7
BÙI VĂN BA,52700.0,Quận 7
CÁC ĐƯỜNG TRONG CƯ XÁ NGÂN HÀNG,64800.0,Quận 7
CÁC ĐƯỜNG CÒN LẠI TRONG CƯ XÁ TÂN QUY ĐÔNG,64800.0,Quận 7
CHUYÊN DÙNG 9,36500.0,Quận 7
ĐÀO TRÍ,43700.0,Quận 7
ĐÀO TRÍ,40500.0,Quận 7
ĐÀO TRÍ,36500.0,Quận 7
VÕ THỊ NHỜ,48600.0,Quận 7
ĐƯỜNG SỐ 10,52700.0,Quận 7
ĐƯỜNG 17,64800.0,Quận 7
ĐƯỜNG 17,64800.0,Quận 7
ĐƯỜNG 17 (PHƯỜNG TÂN THUẬN TÂY),75800.0,Quận 7
ĐƯỜNG 15B (PHƯỜNG PHÚ MỸ),56700.0,Quận 7
"ĐƯỜNG 60, 62 LÂM VĂN BỀN (PHƯỜNG TÂN KIỂNG)",48600.0,Quận 7
ĐƯỜNG 67,56700.0,Quận 7
ĐƯỜNG CẦU TÂN THUẬN 2,60800.0,Quận 7
NGUYỄN THỊ XIẾU,56700.0,Quận 7
