,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
1162,71.0,4.1,57.7,2.0,2.0,129600.0,6.7,6.4
1164,200.0,35.0,175.0,3.0,5.0,82400.0,4.675000000000001,32.45
1166,40.0,10.5,262.5,5.0,4.0,145400.0,14.0,15.5
1169,66.0,4.35,65.9,2.0,2.0,129600.0,6.7,6.4
1170,160.0,17.0,106.2,4.0,3.0,101900.0,4.65,4.5
1172,64.0,7.4,115.6,4.0,4.0,81600.0,4.675000000000001,5.875
1174,50.0,2.55,51.0,1.0,1.0,204800.0,12.0,17.05
1175,120.6,15.0,124.4,3.0,6.0,121500.0,6.5,7.5
1177,85.0,3.9,45.9,2.0,2.0,52500.0,5.2,4.896000000000001
1178,160.0,22.5,140.6,4.0,3.0,179800.0,8.9,9.9
1179,56.0,5.9,105.4,5.0,4.0,30900.0,4.675000000000001,5.2
1181,71.0,5.9,83.1,2.0,2.0,104300.0,4.4,6.4
1182,142.7,16.0,112.1,4.0,5.0,145800.0,6.7,15.5
1184,62.0,6.5,104.8,4.0,5.0,53400.0,4.675000000000001,6.5
1190,58.0,3.1,53.4,4.0,5.0,66400.0,6.0,6.25
1191,129.0,9.3,72.1,4.0,4.0,48500.0,4.675000000000001,5.2
1194,86.0,5.9,68.6,2.0,2.0,72900.0,6.5,6.2
1195,64.0,5.99,93.6,5.0,5.0,63800.0,4.675000000000001,4.75
1197,110.0,6.8,61.8,3.0,2.0,129600.0,6.7,6.4
1199,60.0,5.5,91.7,5.0,6.0,28400.0,4.675000000000001,5.5
1201,82.0,3.7,45.1,2.0,2.0,246900.0,4.4,3.6500000000000004
1205,159.2,25.0,157.0,26.0,26.0,101300.0,6.0,6.6
1206,64.0,10.9,170.3,4.0,5.0,97500.0,6.0,4.175
1207,60.0,6.7,111.7,5.0,5.0,63800.0,4.675000000000001,4.75
1210,1750.0,103.0,58.9,2.0,1.0,27000.0,4.65,5.5
1211,105.0,18.4,175.2,4.0,5.0,64800.0,6.95,7.050000000000001
1216,24.0,3.2,133.3,2.0,3.0,82600.0,6.0,5.875
1218,570.0,125.0,219.3,4.0,4.0,42100.0,7.5,64.445
1219,64.0,1.75,27.3,2.0,2.0,59300.0,4.675000000000001,1.82
1223,48.0,5.8,120.8,4.0,3.0,101300.0,6.0,6.6
1226,113.0,3.95,35.0,3.0,2.0,49800.0,2.6,2.85
1233,54.0,5.65,104.6,2.0,2.0,119100.0,6.5,14.0
1236,56.0,4.65,83.0,3.0,3.0,55433.333333333336,4.675000000000001,4.65
1237,95.0,9.0,94.7,2.0,2.0,132000.0,7.5,8.100000000000001
1238,121.0,9.3,76.9,5.0,4.0,93150.0,6.7,7.5
1247,69.0,2.85,41.3,4.0,4.0,133300.0,7.51,10.2
1250,67.0,8.0,119.4,4.0,5.0,64800.0,6.95,7.050000000000001
1252,47.0,12.0,255.3,4.0,5.0,130400.0,4.7,7.35
1266,118.0,6.8,57.6,2.0,2.0,72900.0,6.5,6.2
1274,33.0,3.13,94.8,3.0,2.0,90700.0,6.5,6.5
1275,216.0,24.0,111.1,8.0,8.0,90700.0,6.5,24.0
1277,64.0,5.5,85.9,3.0,3.0,75800.0,8.19,5.75
1283,67.0,3.3,49.3,2.0,2.0,61450.0,7.5,6.7
1284,147.0,10.2,69.4,3.0,2.0,129600.0,6.7,6.4
1285,95.7,13.15,137.4,3.0,2.0,132000.0,7.5,8.100000000000001
