Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
"3,2 tỷ","Đường Nguyễn Hồng Đào, Phường 14, Tân Bình, Hồ Chí Minh",62.3,4,3,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",62.3,3.2,5.1,2024-10-27,4.0,3.0,tân bình,110200.0,nguyễn hồng đào
"7,1 tỷ","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh.",80.8,2,2,23/10/2024,,,Tin thường,Đã bàn giao,13.000,Tập đoàn Vingroup,"(75.533, 92.667]",80.8,7.1,8.8,2024-10-23,2.0,2.0,bình thạnh,179800.0,điện biên phủ
214 triệu/m²,"Khu dân cư Văn Minh , An Phú, Quận 2, Hồ Chí Minh",140.0,39029126213592233,35433333333333334,24/10/2024,Đông - Nam,,Tin thường,Đã bàn giao,Đang cập nhật,Đang cập nhật,"(126.933, 144.067]",140.0,29.96,21.4,2024-10-24,3.902912621359223e+16,3.5433333333333336e+16,quận 2,59327.65113974232,
"2,25 tỷ","Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh.",65.0,2,2,27/10/2024,,,Tin thường,Bàn giao năm 2021,1.310,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(58.4, 75.533]",65.0,2.25,3.5,2024-10-27,2.0,2.0,bình chánh,18400.0,trịnh quang nghị
"5,4 tỷ","Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",100.0,3671965317919075,3411497730711044,27/10/2024,Đông - Bắc,,Tin thường,2/2023: Mở bán đợt mới,80-320 m²,Công ty TNHH SX – KD Hai Thành,"(92.667, 109.8]",100.0,5.4,5.4,2024-10-27,3671965317919075.0,3411497730711044.0,quận 8,76933.33333333333,phạm thế hiển
"6,2 tỷ","Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",120.0,3909282700421941,35436241610738257,27/10/2024,Đông - Bắc,,Tin thường,2/2023: Mở bán đợt mới,80-320 m²,Công ty TNHH SX – KD Hai Thành,"(109.8, 126.933]",120.0,6.2,5.2,2024-10-27,3909282700421941.0,3.5436241610738256e+16,quận 8,76933.33333333333,phạm thế hiển
"12,5 tỷ","Dự án Riverpark Premier, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",123.0,3,2,23/10/2024,,,Tin thường,Đang cập nhật tiến độ,Đang cập nhật,Đang cập nhật,"(109.8, 126.933]",123.0,12.5,10.2,2024-10-23,3.0,2.0,quận 7,129600.0,đường n
"1,8 tỷ","Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",13.1,2,2,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(6.743, 24.133]",13.1,1.8,13.7,2024-10-27,2.0,2.0,quận 7,81000.0,trần xuân soạn
"9,12 tỷ","Dự án Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",240.0,4325581395348837,427906976744186,27/10/2024,Đông - Bắc,,Tin thường,2/2023: Mở bán đợt mới,80-320 m²,Công ty TNHH SX – KD Hai Thành,"(229.733, 246.867]",240.0,9.12,3.8,2024-10-27,4325581395348837.0,427906976744186.0,quận 8,76933.33333333333,phạm thế hiển
105 tỷ,"Đường An Dương Vương, Phường 3, Quận 5, Hồ Chí Minh",244.0,4325581395348837,427906976744186,24/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(229.733, 246.867]",244.0,105.0,43.0,2024-10-24,4325581395348837.0,427906976744186.0,quận 5,260000.0,an dương vương
55 tỷ,"Đường Phan Đình Phùng, Phường 2, Phú Nhuận, Hồ Chí Minh",160.0,4181347150259067,3878306878306878,24/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,55.0,34.4,2024-10-24,4181347150259067.0,3878306878306878.0,phú nhuận,213800.0,phan đình phùng
